split,response_length_bin,count,percentage
train,"[0, 100)",21863,60.4
train,"[100, 200)",5559,15.36
train,"[1000, 1100)",15,0.04
train,"[1100, 1200)",6,0.02
train,"[1200, 1300)",2,0.01
train,"[1300, 1400)",3,0.01
train,"[1400, 1500)",4,0.01
train,"[1500, 1600)",2,0.01
train,"[1600, 1700)",1,0.0
train,"[1700, 1800)",1,0.0
train,"[1900, 2000)",1,0.0
train,"[200, 300)",4583,12.66
train,"[2100, 2200)",2,0.01
train,"[300, 400)",2417,6.68
train,"[400, 500)",1031,2.85
train,"[500, 600)",461,1.27
train,"[600, 700)",159,0.44
train,"[700, 800)",46,0.13
train,"[800, 900)",23,0.06
train,"[900, 1000)",20,0.06
test,"[0, 100)",1196,59.8
test,"[100, 200)",326,16.3
test,"[1100, 1200)",1,0.05
test,"[200, 300)",257,12.85
test,"[300, 400)",125,6.25
test,"[400, 500)",61,3.05
test,"[500, 600)",17,0.85
test,"[600, 700)",11,0.55
test,"[700, 800)",1,0.05
test,"[800, 900)",5,0.25
full,"[0, 100)",23059,60.37
full,"[100, 200)",5885,15.41
full,"[1000, 1100)",15,0.04
full,"[1100, 1200)",7,0.02
full,"[1200, 1300)",2,0.01
full,"[1300, 1400)",3,0.01
full,"[1400, 1500)",4,0.01
full,"[1500, 1600)",2,0.01
full,"[1600, 1700)",1,0.0
full,"[1700, 1800)",1,0.0
full,"[1900, 2000)",1,0.0
full,"[200, 300)",4840,12.67
full,"[2100, 2200)",2,0.01
full,"[300, 400)",2542,6.65
full,"[400, 500)",1092,2.86
full,"[500, 600)",478,1.25
full,"[600, 700)",170,0.45
full,"[700, 800)",47,0.12
full,"[800, 900)",28,0.07
full,"[900, 1000)",20,0.05
